LB.10	Aakkâr
MG.11	Analamanga
MG.32	Analanjirofo
NG.25	Anambra
PR.011	Añasco
PE.02	Ancash
ES.51	Andalusia
IN.01	Andaman and Nicobar
IN.02	Andhra Pradesh
UZ.01	Andijan Region
AD.07	Andorra la Vella
IM.9782164	Andreas
ME.01	Andrijevica
MG.52	Androy
MD.59	Anenii Noi
NR.03	Anetan District
TH.35	Ang Thong
PW.03	Angaur
CN.01	Anhui
NR.04	Anibare District
KM.01	Anjouan
TR.68	Ankara
SI.P9	Ankaran Municipality
DZ.37	Annaba
GQ.03	Annobon
MG.53	Anosy
SC.02	Anse Boileau
SC.03	Anse Etoile
SC.05	Anse Royale
SC.01	Anse-aux-Pins
ER.01	Anseba
LC.01	Anse-la-Raye
TR.07	Antalya
CO.02	Antioquia
CL.03	Antofagasta
VE.02	Anzoátegui
JP.03	Aomori
IT.19	Aosta Valley
SI.N9	Apače
CH.AR	Appenzell Ausserrhoden
CH.AI	Appenzell Innerrhoden
IT.13	Apulia
VE.03	Apure
PE.03	Apurímac Department
JO.21	Aqaba
KZ.03	Aqmola
KZ.04	Aqtöbe
MK.01	Arachinovo
RO.02	Arad County
AM.01	Aragatsotn
ES.52	Aragon
VE.04	Aragua
AM.02	Ararat
CO.03	Arauca Department
CL.04	Araucanía
IQ.11	Arbīl
IM.9782165	Arbory
IR.32	Ardabil Province
TR.86	Ardahan
PR.013	Arecibo
PE.04	Arequipa
RO.03	Arges
TN.38	Ariana Governorate
CL.16	Arica y Parinacota Region
US.AZ	Arizona
US.AR	Arkansas
MN.01	Arkhangai Province
RU.06	Arkhangelskaya
AM.03	Armavir
MH.040	Arno Atoll
SY.04	Ar-Raqqah
PR.015	Arroyo
DJ.08	Arta
CU.AR	Artemisa
HT.06	Artibonite
UY.01	Artigas
TR.08	Artvin
IN.30	Arunachal Pradesh
TZ.26	Arusha
GU.AS	Asan
SH.01	Ascension
LY.78	Ash Shāţiʼ
GH.02	Ashanti
TM.S	Ashgabat
SA.11	'Asir Region
MR.03	Assaba
IN.03	Assam
SY.05	As-Suwayda
KZ.05	Astana
AZ.08	Astara
RU.07	Astrakhan Oblast
ES.34	Asturias
PY.22	Asunción
EG.16	Aswan
EG.17	Asyut
CL.05	Atacama
TK.A	Atafu
BJ.08	Atakora
CK.11695126	Atiu
CO.04	Atlántico
HN.01	Atlántida Department
BJ.09	Atlantique
MG.51	Atsimo-Andrefana
MG.25	Atsimo-Atsinanana
MG.31	Atsinanana
LA.01	Attapu
MT.01	Attard
GR.ESYE31	Attica
WS.03	Atua
KZ.06	Atyraū
SC.28	Au Cap
NZ.E7	Auckland
LV.AN	Augšdaugava Municipality
MH.050	Aur Atoll
AU.01	Australian Capital Territory
PH.14	Autonomous Region in Muslim Mindanao
FR.84	Auvergne-Rhône-Alpes
GL.11839537	Avannaata
PT.02	Aveiro
SO.21	Awdal
PE.05	Ayacucho
TR.09	Aydın
MM.03	Ayeyarwady
CL.02	Aysén
LY.68	Az Zāwiyah
PK.06	Azad Kashmir
PT.23	Azores
DO.01	Azua Province
EC.02	Azuay
VN.45	Bà Rịa–Vũng Tàu Province
MV.31	Baa Atholhu
LB.11	Baalbek-Hermel Governorate
IQ.06	Bābil
VN.71	Bắc Giang Province
VN.72	Bắc Kạn Province
VN.73	Bạc Liêu Province
VN.74	Bắc Ninh Province
RO.04	Bacău County
HU.01	Bács-Kiskun
AF.01	Badakhshan
DE.01	Baden-Wurttemberg
AF.02	Badghis
GW.01	Bafatá
IQ.07	Baghdad
AF.03	Baghlan
NP.3	Bagmati Province
MM.16	Bago Region
BR.05	Bahia
SC.06	Baie Lazare
SC.07	Baie Sainte Anne
KZ.08	Baikonur
NR.05	Baiti District
MX.02	Baja California
MX.03	Baja California Sur
GT.02	Baja Verapaz
UM.050	Baker Island
AZ.09	Baki
SO.01	Bakool
QA.01	Baladīyat ad Dawḩah
QA.06	Baladīyat ar Rayyān
AZ.10	Balakan District
ES.07	Balearic Islands
ID.02	Bali
TR.10	Balıkesir
TM.02	Balkan
AF.30	Balkh
IM.9782166	Ballaugh
PK.02	Balochistan
JO.02	Balqa
MD.60	Bălţi
LV.03	Balvi Municipality
MT.02	Balzan
LI.01	Balzers
ML.01	Bamako
CF.01	Bamingui-Bangoran
AF.05	Bamyan
SO.02	Banaadir
YT.97602	Bandraboua
YT.97603	Bandrele
LY.69	Banghāzī
ID.35	Bangka–Belitung Islands
TH.40	Bangkok
CF.18	Bangui
GM.01	Banjul
SK.01	Banská Bystrica Region
KH.25	Banteay Meanchey
ID.33	Banten
DO.02	Baoruco Province
ME.02	Bar
DO.03	Barahona Province
HU.02	Baranya
AG.01	Barbuda
PR.017	Barceloneta
AZ.11	Barda
TD.22	Barh el Gazel
SO.03	Bari
GY.10	Barima-Waini
VE.05	Barinas
KE.10	Baringo
BD.85	Barisal Division
PR.019	Barranquitas
GU.BA	Barrigada
TR.87	Bartın
MD.61	Basarabeasca
CD.08	Bas-Congo
CH.BS	Basel-City
CH.BL	Basel-Landschaft
RU.08	Bashkortostan Republic
IT.02	Basilicate
ES.59	Basque Country
IQ.02	Basra
CI.76	Bas-Sassandra District
CF.02	Basse-Kotto
CD.13	Bas-Uele
TD.01	Batha
KG.09	Batken
TR.76	Batman
DZ.03	Batna
KH.29	Battambang
KZ.07	Batys Qazaqstan
TL.BA	Baucau
NG.46	Bauchi
LV.04	Bauska Municipality
DE.02	Bavaria
SO.04	Bay
HN.11	Bay Islands
NZ.E8	Bay of Plenty
PR.021	Bayamón
MN.02	Bayanhongor
MN.03	Bayan-Ölgiy
TR.77	Bayburt Province
NG.52	Bayelsa State
SC.08	Beau Vallon
DZ.38	Béchar
EG.03	Beheira
CN.22	Beijing
PT.03	Beja
TN.17	Béja Governorate
DZ.18	Béjaïa
HU.03	Bekes County
SC.09	Bel Air
SC.10	Bel Ombre
BN.01	Belait
RU.09	Belgorod Oblast
BZ.01	Belize District
SI.02	Beltinci
TN.27	Ben Arous Governorate
VN.03	Bến Tre Province
MD.62	Bender Municipality
SI.F4	Benedikt
ID.03	Bengkulu
AO.19	Bengo
AO.01	Benguela
DZ.BA	Beni Abbes
BO.03	Beni Department
MA.05	Béni Mellal-Khénifra
EG.18	Beni Suweif
NG.26	Benue State
LB.08	Béqaa
ME.03	Berane
AL.40	Berat County
LS.10	Berea
DE.16	Berlin
CH.BE	Bern
MK.04	Berovo
BS.32	Berry Islands
MG.43	Betsiboka
AZ.12	Beyləqan
LB.04	Beyrouth
PH.05	Bicol Region
AO.02	Bíe
IN.34	Bihar
RO.05	Bihor County
ME.04	Bijelo Polje
MH.060	Bikar Atoll
MH.070	Bikini Atoll
AZ.13	Bilasuvar District
TR.11	Bilecik
BS.05	Bimini
TR.12	Bingöl
VN.75	Bình Dương Province
VN.76	Bình Phước Province
VN.47	Bình Thuận Province
ET.47	Bīnshangul Gumuz
CL.06	Biobío
GQ.04	Bioko Norte
GQ.05	Bioko Sur
GW.12	Biombo
MT.04	Birkirkara
MT.05	Birżebbuġa
KG.01	Bishkek
DZ.19	Biskra
GW.11	Bissau
SI.F5	Bistrica ob Sotli
RO.06	Bistrița-Năsăud County
TR.13	Bitlis
MK.06	Bitola
TN.18	Bizerte Governorate
HR.01	Bjelovar-Bilogora
BS.36	Black Point
MU.12	Black River
BG.38	Blagoevgrad
SI.03	Bled
SE.02	Blekinge
DZ.20	Blida
SI.F6	Bloke
AI.11205389	Blowing Point
SD.42	Blue Nile
CV.01	Boa Vista
NI.01	Boaco Department
TL.BO	Bobonaro
PA.01	Bocas del Toro Province
KY.10375969	Bodden Town
NR.06	Boe District
MG.41	Boeny
MK.08	Bogdanci
CO.34	Bogota D.C.
MK.C7	Bogovinje
SI.04	Bohinj Municipality
MH.073	Bokak Atoll
GN.B	Boké Region
LA.22	Bokeo
GW.05	Bolama
LA.23	Bolikhamsai
CO.35	Bolívar
EC.03	Bolívar
VE.06	Bolívar
TR.14	Bolu
KE.11	Bomet County
LR.15	Bomi County
BQ.BO	Bonaire
LR.01	Bong County
MG.14	Bongolava
GH.13	Bono
GH.14	Bono East
PY.24	Boquerón
DZ.BB	Bordj Badji Mokhtar
DZ.39	Bordj Bou Arréridj
SM.06	Borgo Maggiore
BJ.10	Borgou
TD.23	Borkou
MT.06	Bormla
NG.27	Borno State
TT.01	Borough of Arima
SI.05	Borovnica
HU.04	Borsod-Abaúj-Zemplén
MK.11	Bosilovo
RO.07	Botoșani County
BF.01	Boucle du Mouhoun
YT.97604	Bouéni
CG.01	Bouenza
PG.07	Bougainville
DZ.21	Bouira
DZ.40	Boumerdes
FR.27	Bourgogne-Franche-Comté
SI.06	Bovec
CO.36	Boyacá
IM.9782167	Braddan
PT.04	Braga
PT.05	Bragança
RO.08	Brăila County
MR.05	Brakna
DE.11	Brandenburg
SI.F7	Braslovče
RO.09	Brașov County
SK.02	Bratislava Region
CV.02	Brava
CG.12	Brazzaville
BA.BRC	Brčko
SI.07	Brda
DE.03	Bremen
BY.01	Brest
SI.08	Brežice
SI.09	Brezovica
MD.63	Briceni
IM.9782168	Bride
CA.02	British Columbia
FR.53	Brittany
HR.02	Brod-Posavina
SR.10	Brokopondo District
BN.02	Brunei-Muara District
BE.BRU	Brussels Capital
MK.12	Brvenica
RU.10	Bryansk Oblast
NR.07	Buada District
BI.09	Bubanza
RO.10	București
HU.05	Budapest
ME.05	Budva
TH.81	Bueng Kan
AR.01	Buenos Aires
AR.07	Buenos Aires F.D.
BI.24	Bujumbura Mairie
BI.25	Bujumbura Rural
UZ.02	Bukhara
ZW.09	Bulawayo
MN.21	Bulgan
BT.05	Bumthang District
KE.12	Bungoma County
TR.15	Burdur
BG.39	Burgas
AT.01	Burgenland
TH.28	Buriram
TR.16	Bursa Province
BI.10	Bururi
RU.11	Buryatiya Republic
KR.10	Busan
IR.22	Bushehr
KE.13	Busia County
NO.04	Buskerud
LS.11	Butha-Buthe
RO.11	Buzău County
VN.77	Cà Mau Province
PY.04	Caaguazú
PY.05	Caazapá
SV.02	Cabañas
AO.03	Cabinda
MZ.01	Cabo Delgado Province
PR.023	Cabo Rojo
GW.06	Cacheu
PH.02	Cagayan Valley
PR.025	Caguas
MD.64	Cahul
EG.11	Cairo
PE.06	Cajamarca Department
PH.40	Calabarzon
IT.03	Calabria
MD.66	Călăraşi
RO.41	Călărași County
CO.37	Caldas Department
US.CA	California
PE.07	Callao
CU.05	Camagüey
IT.04	Campania
MX.04	Campeche
PR.027	Camuy
VN.87	Can Tho
TR.17	Canakkale
EC.04	Cañar
LC.12	Canaries
ES.53	Canary Islands
UY.02	Canelones
AD.02	Canillo
PY.19	Canindeyú
TR.82	Çankırı
SI.F8	Cankova
BI.11	Cankuzo
PR.029	Canóvanas
ES.39	Cantabria
MD.65	Cantemir
NZ.E9	Canterbury
VN.05	Cao Bằng Province
LU.CA	Capellen
DK.17	Capital Region
IS.39	Capital Region
CO.08	Caquetá
VE.07	Carabobo
PH.13	Caraga
RO.12	Caraș-Severin County
NI.02	Carazo Department
EC.05	Carchi
MU.22	Cargados Carajos
AT.02	Carinthia
PR.031	Carolina
GD.10	Carriacou and Petite Martinique
CR.02	Cartago Province
MA.06	Casablanca-Settat
CO.32	Casanare Department
SC.11	Cascade
BF.02	Cascades Region
GG.6417229	Castel
PT.06	Castelo Branco
ES.55	Castille and León
ES.54	Castille-La Mancha
IM.9782169	Castletown
LC.03	Castries
BS.06	Cat Island
ES.56	Catalonia
AR.02	Catamarca
PR.033	Cataño
CO.09	Cauca Department
MD.67	Căuşeni
PR.035	Cayey
BZ.02	Cayo District
BR.06	Ceará
PR.037	Ceiba
SI.11	Celje
MK.18	Centar Zhupa
BW.01	Central
FJ.01	Central
GH.04	Central
BS.37	Central Abaco
MN.18	Central Aimak
HK.HCW	Central and Western
BS.38	Central Andros
CZ.88	Central Bohemia
SD.61	Central Darfur
PY.06	Central Department
IL.02	Central District
BS.39	Central Eleuthera
SS.01	Central Equatoria
FI.13	Central Finland
GR.ESYE24	Central Greece
ID.07	Central Java
DK.18	Central Jutland
ID.13	Central Kalimantan
PH.03	Central Luzon
GR.ESYE12	Central Macedonia
FI.16	Central Ostrobothnia
ID.PT	Central Papua
LK.29	Central Province
PG.01	Central Province
SB.10	Central Province
ZM.02	Central Province
MW.C	Central Region
UG.C	Central Region
GM.03	Central River
RS.SE	Central Serbia
ID.21	Central Sulawesi
PH.07	Central Visayas
TG.22	Centrale
BF.03	Centre
CM.11	Centre
FR.24	Centre
HT.07	Centre
BF.04	Centre-Est
BF.05	Centre-Nord
BF.06	Centre-Ouest
BF.07	Centre-Sud
GQ.06	Centro Sur
SI.12	Cerklje na Gorenjskem
SI.13	Cerknica
SI.14	Cerkno
SI.F9	Cerkvenjak
UY.03	Cerro Largo
CO.10	Cesar Department
MK.19	Češinovo-Obleševo
LV.05	Cēsis Municipality
ME.06	Cetinje
ES.CE	Ceuta
TH.44	Chachoengsao
AR.03	Chaco
KP.01	Chagang-do
TT.CHA	Chaguanas
IR.03	Chaharmahal and Bakhtiari
TH.32	Chai Nat
TH.26	Chaiyaphum
GU.CP	Chalan Pago-Ordot
SV.03	Chalatenango Department
LA.02	Champasak Province
IN.05	Chandigarh
TH.48	Chanthaburi
TD.15	Chari-Baguirmi
VC.01	Charlotte Parish
MK.C9	Chashka
NZ.10	Chatham Islands
RU.12	Chechnya
RU.13	Chelyabinsk
UA.01	Cherkasy
UA.02	Chernihiv
UA.03	Chernivtsi
IN.37	Chhattisgarh
TH.02	Chiang Mai
TH.03	Chiang Rai
MX.05	Chiapas
JP.04	Chiba
YT.97605	Chiconi
SM.02	Chiesanuova
MX.06	Chihuahua
GT.03	Chimaltenango
EC.06	Chimborazo Province
PG.08	Chimbu Province
MM.02	Chin State
NI.03	Chinandega Department
GT.04	Chiquimula
PA.02	Chiriquí Province
YT.97606	Chirongui
MD.57	Chișinău Municipality
BD.84	Chittagong
DZ.41	Chlef
BW.12	Chobe
CO.11	Chocó
LC.04	Choiseul
SB.12	Choiseul Province
HN.02	Choluteca Department
TH.46	Chon Buri
CN.33	Chongqing
NI.04	Chontales Department
BB.01	Christ Church
KN.01	Christ Church Nichola Town
AR.04	Chubut
MK.20	Chucher Sandevo
BT.06	Chukha
RU.15	Chukotka
TH.58	Chumphon
KR.17	Chungcheongnam-do
BO.01	Chuquisaca Department
FM.03	Chuuk
RU.16	Chuvash Republic
KG.02	Chuy Region
PR.039	Ciales
BI.12	Cibitoke
PR.041	Cidra
CU.07	Ciego de Ávila Province
CU.08	Cienfuegos Province
MD.68	Cimişlia
SI.O1	Cirkulane
BW.13	City of Francistown
JM.01	Clarendon
LU.CL	Clervaux
RO.13	Cluj County
MX.07	Coahuila
PR.043	Coamo
BO.02	Cochabamba
PA.03	Coclé
PT.07	Coimbra
VE.08	Cojedes
MX.08	Colima
BJ.11	Collines
PA.04	Colón
HN.03	Colón Department
UY.04	Colonia
US.CO	Colorado
HN.04	Comayagua Department
PR.045	Comerío
SR.11	Commewijne District
CI.94	Comoé
GN.04	Conakry
PY.07	Concepción
IE.C	Connacht
US.CT	Connecticut
RO.14	Constanța County
DZ.04	Constantine
HN.05	Copán Department
ZM.08	Copperbelt
CL.07	Coquimbo Region
PH.15	Cordillera
PY.08	Cordillera Department
AR.05	Cordoba
CO.12	Córdoba
SR.12	Coronie District
PR.047	Corozal
BZ.03	Corozal District
AR.06	Corrientes
FR.94	Corsica
HN.06	Cortés Department
TR.19	Çorum
MO.11875160	Cotai
EC.07	Cotopaxi
HR.10	County of Osijek-Baranja
TT.CTT	Couva-Tabaquite-Talparo
TL.CO	Cova Lima
RO.15	Covasna County
SI.15	Črenšovci
GR.ESYE43	Crete
UA.11	Crimea
MD.69	Criuleni
SI.16	Črna na Koroškem Municipality
SI.17	Črnomelj Municipality
BS.40	Crooked Island and Long Cay
NG.22	Cross River State
TF.02	Crozet
HU.06	Csongrád
AO.04	Cuando Cobango
AO.05	Cuanza Norte
PR.049	Culebra
CO.33	Cundinamarca
AO.07	Cunene
SV.04	Cuscatlán
CG.13	Cuvette
CG.14	Cuvette-Ouest
GY.11	Cuyuni-Mazaruni
PE.08	Cuzco Department
VN.78	Da Nang
IN.52	Dadra and Nagar Haveli and Daman and Diu
KR.15	Daegu
KR.19	Daejeon
BT.08	Dagana
RU.17	Dagestan
DO.04	Dajabón
VN.88	Đắk Lắk
VN.91	Đăk Nông Province
EG.01	Dakahlia
SN.01	Dakar
MA.12	Dakhla-Oued Ed-Dahab
MR.08	Dakhlet Nouadhibou
SE.10	Dalarna
RO.16	Dâmbovița County
EG.20	Damietta
ME.07	Danilovgrad
TZ.23	Dar es Salaam Region
SY.06	Daraa
MN.23	Darhan Uul
PA.05	Darién
LY.70	Darnah
AZ.16	Daşkǝsǝn
TM.03	Daşoguz
LV.06	Daugavpils
PH.11	Davao Region
AF.41	Daykundi
MK.D2	Debar
MK.F5	Debarca
ER.02	Debub
GU.DD	Dededo
SY.07	Deir ez-Zor
US.DE	Delaware
MK.22	Delchevo
IN.07	Delhi
NG.36	Delta
VE.09	Delta Amacuro
YT.97607	Dembeni
GY.12	Demerara-Mahaica
MK.D3	Demir Hisar
MK.25	Demir Kapija
CI.77	Denguélé District
NR.08	Denigomodu District
TR.20	Denizli
LC.05	Dennery
VE.24	Dependencias Federales
SI.G1	Destrnik
BM.01	Devonshire
MV.32	Dhaalu Atholhu
BD.81	Dhaka Division
YE.11	Dhamār
IQ.09	Dhi Qar
OM.08	Dhofar
MG.71	Diana
AL.41	Dibër County
TT.DMN	Diego Martin Regional Corporation
LU.DI	Diekirch
VN.92	Điện Biên Province
NE.02	Diffa
DJ.06	Dikhil
TL.DI	Dili Municipality
SY.13	Dimashq
MT.07	Dingli
SN.03	Diourbel Region
ET.48	Dire Dawa
VE.25	Distrito Federal
SI.19	Divača
IQ.10	Diyālá
TR.21	Diyarbakır Province
DZ.DJ	Djanet
DZ.22	Djelfa
GQ.10	Djibloho
DJ.07	Djibouti
UA.04	Dnipropetrovsk
LV.08	Dobele Municipality
SI.G2	Dobje
SI.20	Dobrepolje
BG.40	Dobrich
SI.G3	Dobrna
SI.G4	Dobrova-Horjul-Polhov Gradec
SI.G5	Dobrovnik-Dobronak
TZ.03	Dodoma
MK.E5	Dojran
SI.22	Dol pri Ljubljani
SI.G6	Dolenjske Toplice
RO.17	Dolj
MK.28	Dolneni
SM.03	Domagnano
SI.G7	Domžale
MD.70	Donduşeni
UA.05	Donetsk
VN.43	Đồng Nai Province
VN.09	Đồng Tháp Province
BJ.13	Donga
PR.051	Dorado
SI.24	Dornava
NE.03	Dosso Region
IM.9782170	Douglas
MA.08	Drâa-Tafilalet
SI.25	Dravograd
NL.01	Drenthe
MD.71	Drochia
DO.06	Duarte Province
AE.03	Dubai
MD.72	Dubăsari District
HR.03	Dubrovnik-Neretva
IQ.08	Duhok
SI.26	Duplek
MX.10	Durango
UY.05	Durazno Department
AL.42	Durrës County
TJ.04	Dushanbe
TR.93	Düzce
MN.09	Dzabkhan
YT.97608	Dzaoudzi
CM.04	East
IS.38	East
MN.06	East Aimak
IR.33	East Azerbaijan
GY.13	East Berbice-Corentyne
AI.11205433	East End
KY.10375971	East End
MN.07	East Gobi Aymag
BS.41	East Grand Bahama
ID.08	East Java
ID.14	East Kalimantan
KZ.15	East Kazakhstan
GR.ESYE11	East Macedonia and Thrace
PG.10	East New Britain Province
ID.18	East Nusa Tenggara
PG.11	East Sepik Province
FJ.02	Eastern
GH.05	Eastern
HK.HEA	Eastern
ZA.05	Eastern Cape
SD.60	Eastern Darfur
AS.010	Eastern District
SS.02	Eastern Equatoria
PG.09	Eastern Highlands Province
LK.37	Eastern Province
RW.11	Eastern Province
SA.06	Eastern Province
SL.01	Eastern Province
ZM.03	Eastern Province
UG.E	Eastern Region
PH.08	Eastern Visayas
MH.080	Ebon Atoll
NG.53	Ebonyi State
LU.EC	Echternach
TR.22	Edirne
NG.37	Edo State
JP.05	Ehime
NG.54	Ekiti State
DZ.42	El Bayadh
DZ.EM	El Menia
DZ.MG	El Mghair
EC.08	El Oro
DZ.43	El Oued
HN.07	El Paraíso Department
GT.05	El Progreso
DO.28	El Seíbo
DZ.44	El Tarf
TR.23	Elazığ
AL.43	Elbasan County
KE.14	Elegeyo-Marakwet
DO.11	Elías Piña
PA.11	Emberá
KE.15	Embu County
IT.05	Emilia-Romagna
AD.03	Encamp
MH.090	Enewetak Atoll
PG.19	Enga Province
GB.ENG	England
TD.27	Ennedi-Est
TD.28	Ennedi-Ouest
AR.08	Entre Rios
NG.47	Enugu State
GR.ESYE21	Epirus
CD.02	Équateur
MH.100	Erikub Atoll
TL.ER	Ermera
NA.29	Erongo Region
TR.24	Erzincan
TR.25	Erzurum
AD.08	Escaldes-Engordany
LI.02	Eschen
LU.ES	Esch-sur-Alzette
GT.06	Escuintla
TR.26	Eskişehir
EC.09	Esmeraldas
DO.08	Espaillat Province
BR.08	Espírito Santo
GY.14	Essequibo Islands-West Demerara
BF.08	Est
NI.05	Estelí Department
GA.01	Estuaire
TO.EU	ʻEua
PT.08	Évora
NR.09	Ewa District
ES.57	Extremadura
BS.10	Exuma
FO.OS	Eysturoy
MV.39	Faadhippolhu Atoll
MV.33	Faafu Atholhu
WS.04	Fa'asaleleaga
SM.04	Faetano
EG.04	Faiyum
PR.053	Fajardo
TK.F	Fakaofo
VE.11	Falcón
MD.74	Fălești
CM.12	Far North
AF.06	Farah
GN.F	Faranah
PT.09	Faro
IR.07	Fars
AF.07	Faryab
SN.09	Fatick
NG.11	FCT
BR.07	Federal District
BA.01	Federation of B&H
HU.08	Fejér
UZ.03	Fergana
XK.10096138	Ferizaj
MA.03	Fès-Meknès
AL.44	Fier County
NO.05	Finnmark
SM.05	Fiorentino
MG.26	Fitovinany Region
MU.13	Flacq
BE.VLG	Flanders
NL.16	Flevoland
UY.06	Flores Department
MD.75	Floreşti
MT.09	Floriana
PR.054	Florida
US.FL	Florida
UY.07	Florida
GG.6417223	Forest
AR.09	Formosa
HN.08	Francisco Morazán Department
BS.25	Freeport
CH.FR	Fribourg
NL.02	Friesland
IT.06	Friuli Venezia Giulia
AE.04	Fujairah
CN.07	Fujian
TW.01	Fukien
JP.06	Fukui
JP.07	Fukuoka
JP.08	Fukushima
TV.FUN	Funafuti
AZ.18	Fuzuli District
MV.34	Gaafu Alif Atoll
MV.35	Gaafu Dhaalu Atoll
TN.29	Gabès Governorate
BW.14	Gaborone
BG.41	Gabrovo
GW.10	Gabú
AZ.19	Gadabay District
TN.30	Gafsa
WS.05	Gaga'emauga
WS.07	Gaga'ifomauga
MD.51	Gagauzia
EC.01	Galápagos
RO.18	Galați County
SO.05	Galguduud
ES.58	Galicia
ET.49	Gambela
LI.03	Gamprin
KR.06	Gangwon-do
CN.15	Gansu
ML.09	Gao
KE.16	Garissa County
BT.23	Gasa
ER.04	Gash-Barka
ZA.06	Gauteng
SE.03	Gävleborg
MZ.02	Gaza Province
PS.GZ	Gaza Strip
TR.83	Gaziantep
LR.21	Gbarpolu County
SO.06	Gedo
AM.04	Gegharkunik
TZ.28	Geita
NL.03	Gelderland
AZ.20	Gǝncǝ
CH.GE	Geneva
AI.11205442	George Hill
KY.10346796	George Town
US.GA	Georgia
IM.9782171	German
MK.33	Gevgelija
MT.11	Għajnsielem
BW.03	Ghanzi
EG.05	Gharbia
DZ.45	Ghardaia
LY.71	Ghāt
AF.08	Ghazni
AF.09	Ghowr
VN.49	Gia Lai Province
JP.09	Gifu
IR.08	Gilan Province
KI.01	Gilbert Islands
PK.07	Gilgit-Baltistan
TR.28	Giresun
NZ.F1	Gisborne
BI.13	Gitega
RO.42	Giurgiu County
EG.08	Giza
XK.10096859	Gjakova
XK.10097357	Gjilan
AL.45	Gjirokastër County
SC.12	Glacis
CH.GL	Glarus
MD.76	Glodeni
MV.42	Gnyaviyani Atoll
IN.33	Goa
CI.95	Gôh-Djiboua
BR.29	Goiás
IR.37	Golestan
NG.55	Gombe State
